#  Sample no 7 : Stan5
#  Number of scans: 2989
#  B=	150 - -1	274 - -1	1356 - -1
#  P=	163 - 269	320 - 1336	1845 - 2956
# 
#t [s]	Oxid.tube C	Postcomb.tube C	Flow N<sub>2</sub> ml/min	Flow lance ml/min	Input mbar	Output mbar	IR detect. unit
310	164	795	581	150	1557	1537	1460
311	165	795	581	150	1558	1537	1458
312	165	795	581	150	1557	1537	1456
313	166	795	581	150	1557	1537	1454
314	166	795	581	150	1557	1536	1451
315	166	795	581	150	1557	1536	1449
316	166	795	581	150	1557	1536	1447
317	166	795	581	150	1557	1536	1445
318	166	796	581	150	1557	1536	1443
319	167	796	581	150	1557	1536	1442
320	167	796	581	150	1557	1537	1441
321	167	797	581	150	1557	1536	1441
322	167	797	581	150	1557	1536	1442
323	167	798	581	150	1556	1536	1445
324	168	798	581	151	1557	1536	1449
325	168	798	581	151	1557	1536	1455
326	168	798	581	151	1556	1536	1462
327	168	799	581	151	1556	1536	1470
328	169	799	581	151	1556	1536	1480
329	169	799	581	150	1557	1536	1492
330	169	799	581	151	1557	1536	1503
331	169	799	581	150	1557	1536	1517
332	169	800	581	151	1557	1536	1532
333	169	800	581	151	1557	1536	1547
334	170	800	581	150	1557	1536	1563
335	169	800	581	151	1557	1536	1579
336	170	800	581	151	1557	1535	1595
337	170	800	581	151	1556	1535	1611
338	170	800	581	151	1556	1535	1626
339	170	800	581	151	1556	1535	1641
340	170	800	581	151	1556	1535	1655
341	170	800	581	151	1556	1535	1668
342	170	800	581	151	1555	1535	1680
343	170	799	581	151	1555	1535	1694
344	170	799	581	151	1555	1535	1705
345	170	799	581	151	1556	1535	1716
346	170	799	581	151	1555	1535	1727
347	170	798	581	151	1556	1535	1737
348	170	798	581	151	1556	1535	1745
349	170	798	581	151	1555	1535	1753
350	170	798	581	151	1555	1535	1760
351	170	798	581	151	1555	1535	1766
352	170	797	581	151	1556	1535	1771
353	170	797	581	151	1556	1535	1776
354	170	796	581	151	1556	1535	1780
355	170	796	581	151	1556	1535	1784
356	170	796	581	151	1555	1534	1789
357	170	796	581	151	1556	1535	1796
358	169	795	581	151	1556	1535	1804
359	169	795	581	151	1556	1534	1813
360	169	795	581	151	1555	1534	1825
361	169	794	581	151	1555	1534	1837
362	169	794	581	151	1556	1534	1848
363	169	794	581	151	1556	1534	1860
364	169	793	581	151	1556	1534	1871
365	169	793	581	151	1556	1534	1880
366	169	793	581	151	1556	1534	1888
367	168	793	581	151	1555	1534	1894
368	168	793	581	151	1555	1534	1898
369	168	793	581	151	1556	1534	1902
370	168	793	581	151	1555	1535	1904
371	168	793	581	151	1555	1534	1905
372	168	793	581	151	1555	1534	1907
373	168	794	581	151	1554	1534	1909
374	168	794	581	151	1554	1534	1912
375	167	794	581	151	1555	1534	1914
376	167	795	581	152	1555	1534	1920
377	167	795	581	151	1555	1534	1923
378	167	795	581	151	1555	1534	1927
379	167	795	581	151	1556	1534	1930
380	167	795	581	151	1555	1534	1930
381	167	796	581	151	1555	1535	1930
382	166	796	581	151	1555	1535	1930
383	166	796	581	151	1556	1535	1930
384	166	796	581	151	1556	1535	1928
385	166	797	581	151	1556	1534	1927
386	166	797	581	151	1555	1534	1926
387	166	797	581	151	1555	1534	1925
388	166	798	581	151	1555	1534	1926
389	166	798	581	151	1555	1534	1926
390	166	798	581	151	1555	1534	1926
391	166	799	581	151	1556	1534	1926
392	166	799	581	152	1555	1534	1926
393	165	799	581	151	1556	1534	1926
394	165	800	581	151	1555	1534	1926
395	165	800	581	151	1555	1534	1921
396	165	800	581	151	1555	1534	1918
397	164	800	581	151	1555	1534	1914
398	164	801	581	151	1555	1534	1914
399	164	801	581	151	1555	1534	1907
400	164	801	581	151	1555	1534	1907
401	164	801	581	151	1555	1534	1905
402	164	801	581	151	1555	1534	1907
403	163	801	581	152	1555	1534	1911
404	161	801	581	151	1555	1534	1916
405	161	801	581	152	1555	1534	1920
406	161	801	581	152	1555	1534	1923
407	161	801	581	151	1555	1534	1923
408	161	801	581	151	1555	1534	1923
409	163	801	581	151	1556	1534	1914
410	165	800	581	151	1556	1534	1905
411	169	800	581	151	1555	1534	1892
412	170	799	581	151	1556	1534	1876
413	171	799	581	151	1555	1534	1857
414	171	799	581	151	1555	1534	1857
415	172	799	581	151	1556	1535	1814
416	173	798	581	151	1557	1535	1794
417	174	798	581	151	1557	1535	1775
418	174	798	581	151	1555	1535	1759
419	175	798	581	151	1555	1535	1747
420	176	797	581	151	1555	1535	1747
