"temp","CO2_av","CO2_med","Moving","Modelled","CO2_scaled"
147,626,626,596.416142900857,636.80202343729,596.416142900857
148,634,634,624.541142900857,649.020246357421,624.541142900857
149,650.5,650.5,659.391142900857,664.456062688692,659.391142900857
150,679.25,679,690.707809567523,681.917108857448,690.707809567523
151,708,708,718.751995614035,700.211021290033,718.751995614035
152,747.2,728,735.151995614035,718.145436412792,735.151995614035
153,747,729,752.501995614035,734.868280535498,752.501995614035
154,728,728,770.568662280702,750.888639501635,770.568662280702
155,742.291666666667,728,789.335328947368,767.055889038117,789.335328947368
156,787.631578947368,807,809.640328947368,784.219404871859,809.640328947368
157,827,827,834.230328947368,803.228562729772,834.230328947368
158,839,839,852.824078947368,824.93273833877,852.824078947368
159,851,851,871.399078947368,849.815456803133,871.399078947368
160,866.5,866.5,889.236578947369,876.896840736607,889.236578947369
161,891,891,906.386578947369,904.831162130302,906.386578947369
162,924,923,922.426578947369,932.27269297533,922.426578947369
163,952,952,939.826578947369,957.875705262803,939.826578947369
164,972.333333333333,973,960.026578947369,980.510201884802,960.026578947369
165,992,992,981.661995614035,999.909109337284,981.661995614035
166,1028.1,1023,1003.08041666667,1016.02108501718,1003.08041666667
167,1117.8,1129,1024.61375,1028.79478632141,1024.61375
168,1005.875,1004,1047.66375,1038.17887064691,1047.66375
169,977.207185148727,971.471288089938,1062.65869366036,1044.38686697138,1062.65869366036
170,1022,1022,1072.36375,1048.69179059565,1072.36375
171,1036.6324315639,1037.98351441245,1083.12735907629,1052.63152840132,1083.12735907629
172,1036,1036,1099.21375,1057.74396726999,1099.21375
173,1051,1051,1122.86660714286,1065.56699408327,1122.86660714286
174,1068,1068,1151.16660714286,1077.63849572275,1151.16660714286
175,1095,1095,1182.36660714286,1095.49635907004,1182.36660714286
176,1132,1132,1213.74994047619,1120.38286535328,1213.74994047619
177,1175,1175,1245.34994047619,1152.35787318671,1245.34994047619
178,1216,1216,1276.14494047619,1191.18563553114,1276.14494047619
179,1257.66666666667,1258,1303.35494047619,1236.63040534733,1303.35494047619
180,1300,1300,1337.06119047619,1288.4564355961,1337.06119047619
181,1345,1345,1372.07785714286,1345.71836893156,1372.07785714286
182,1403.5,1405,1409.17785714286,1404.63240678127,1409.17785714286
183,1364.05714285714,1381,1448.35285714286,1460.7051402661,1448.35285714286
184,1490,1490,1489.85285714286,1509.44316050696,1489.85285714286
185,1576,1576,1533.27785714286,1546.35305862472,1533.27785714286
186,1603.69051597647,1606.95971991899,1556.60975855589,1568.4997221938,1556.60975855589
187,1603.92301482546,1607.04005780301,1565.42252994889,1579.18122460264,1565.42252994889
188,1596.19400626171,1597.60036678552,1574.21653636744,1583.2539356932,1574.21653636744
189,1600,1600,1597.49214285714,1585.57422530747,1597.49214285714
