"","X1.sol1","X1.sol1.1"
"298",298,0.904662389052291
"299",299,0.710127942829875
"300",300,0.438175155360154
"301",301,0.121876488085038
"302",302,0.0234473203861718
"303",303,-0.272783717018998
"304",304,-0.441837926290711
"305",305,-0.667215017073453
"306",306,-0.945703142827159
"307",307,-1.10866572764479
"308",308,-1.32927891187085
"309",309,-1.53564155734209
"310",310,-1.7165282378705
"311",311,-1.98417980902954
"312",312,-2.15180083764865
"313",313,-2.40031799994844
"314",314,-2.60575441965116
"315",315,-2.8722545189146
"316",316,-3.02763594984778
"317",317,-3.29506775965815
"318",318,-3.49454711911923
"319",319,-3.73507042927901
"320",320,-3.84066227239099
"321",321,-4.08830230138113
"322",322,-4.26994102912215
"323",323,-4.46129302050502
"324",324,-4.72752333358106
"325",325,-4.88735826987652
"326",326,-5.12374173859476
"327",327,-5.39105021028541
"328",328,-5.4627184977748
"329",329,-5.74366577814334
"330",330,-5.87947496977548
"331",331,-6.10792698848717
"332",332,-6.38185553198523
"333",333,-6.50614583182596
"334",334,-6.66118405292071
"335",335,-6.96560458900142
"336",336,-7.13333202052691
"337",337,-7.33730709428138
"338",338,-7.45350903398001
"339",339,-7.69810955622374
"340",340,-7.88569475201373
"341",341,-8.12106215597319
"342",342,-8.33047720724744
"343",343,-8.50036750924188
"344",344,-8.66963809309251
"345",345,-8.87667156657457
"346",346,-9.10897897602436
"347",347,-9.27279680394166
"348",348,-9.50651765121147
"349",349,-9.67927650205336
"350",350,-9.84341925027266
"351",351,-10.051430933711
"352",352,-10.2269733124482
"353",353,-10.424575595666
"354",354,-10.5787302677365
"355",355,-10.8683609166735
"356",356,-10.9483658699068
"357",357,-11.2174595975062
"358",358,-11.4193147089586
"359",359,-11.5647683631256
"360",360,-11.7756569110402
"361",361,-11.9876451304232
"362",362,-12.1001210755138
"363",363,-12.3798310684179
"364",364,-12.5190140594562
"365",365,-12.75068676594
"366",366,-12.9588107475671
"367",367,-13.0680039436935
"368",368,-13.2323055486814
"369",369,-13.4836803116616
"370",370,-13.6871256547911
"371",371,-13.8341153456866
"372",372,-14.0223731474843
"373",373,-14.2037219496366
"374",374,-14.4063022287287
"375",375,-14.5826073210331
"376",376,-14.7136416687245
"377",377,-14.8857825165295
"378",378,-15.0809001004508
"379",379,-15.280564384184
"380",380,-15.4478359317529
"381",381,-15.5921574201061
"382",382,-15.8496980087026
"383",383,-16.0652546629289
"384",384,-16.1867198498651
"385",385,-16.4087900128198
"386",386,-16.5308306943163
"387",387,-16.6947532822622
"388",388,-16.8470446324035
"389",389,-17.0848659018484
"390",390,-17.2182061482242
"391",391,-17.4266581099559
"392",392,-17.6278095249716
"393",393,-17.8104945099485
"394",394,-17.9370589231873
"395",395,-18.135101664958
"396",396,-18.3507562904083
"397",397,-18.4643388518781
